CDR3B length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.01,0.04,0.09,0.22,0.28,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.00011531032892271325,0.0020755859206088387,0.01350572227507279,0.048242958863040156,0.11324915679321976,0.20718383349188504,0.2734728588313298,0.24801810372164088,0.09413646977428003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.3676114965947e-05,0.0020563375094376684,0.014082642616547365,0.0475108708329141,0.115683329894984,0.19149212706964833,0.2422461664184205,0.20826068541558967,0.13881919522342553,0.0395892342391271,0.00016573466493975238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.1671469418940377e-05,0.0005531675272609207,0.005216370654161807,0.02398621781754088,0.06591288034409933,0.13598842699928462,0.2061445112883065,0.23735945049176793,0.18529651410271963,0.11286073948635042,0.026660049819089014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,7.79034473091402e-06,0.00021003009890302154,0.002276867821040579,0.01243898171691124,0.03835165238193441,0.08446607837396009,0.15755733440342493,0.22850098049261605,0.23236010426178239,0.15427207645841137,0.07600646830519289,0.013545382451385285,6.2528897068416835e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3.4813892852866277e-06,8.692647997777245e-05,0.001030616800943938,0.006608265755193919,0.024301240354051054,0.057759807573741606,0.11486356812108459,0.1935507601236787,0.24276835988364642,0.20075156786141798,0.1094198703826808,0.043072826429023915,0.005780387919083818,2.320926190191085e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.6597753611630287e-06,4.013111884536892e-05,0.00046923928439483975,0.003243926994422882,0.01379179941461393,0.03785043413179775,0.07936630322016869,0.15030336740133027,0.22442490658225328,0.23628175215021002,0.15845488546527559,0.07061761025066357,0.022733002468873248,0.00241793484410381,3.0468976855846975e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
